FECHA (YYMMDD);HORA (HHMM);;
260323;2200;56,2367;
260323;2300;59,2858;
260324;0000;54,505;
260324;0100;67,8583;
260324;0200;72,76;
260324;0300;76,6818;
260324;0400;77,7142;
260324;0500;74,3158;
260324;0600;89,4667;
260324;0700;86,05;
260324;0800;77,9567;
260324;0900;66,7167;
260324;1000;68,3442;
260324;1100;78,715;
260324;1200;67,6176;
260324;1300;;
260324;1400;66,9434;
260324;1500;59,6717;
260324;1600;64,9783;
260324;1700;67,0442;
260324;1800;70,9467;
260324;1900;74,8225;
260324;2000;76,605;
260324;2100;75,4117;
260324;2200;75,4342;
260324;2300;76,2574;
260325;0000;75,2343;
260325;0100;75,9009;
260325;0200;73,6908;
260325;0300;77,9425;
260325;0400;79,1984;
260325;0500;67,7025;
260325;0600;66,17;
260325;0700;67,7533;
260325;0800;66,5875;
260325;0900;66,3726;
260325;1000;61,3425;
260325;1100;52,9975;
260325;1200;50,8808;
260325;1300;49,9033;
260325;1400;43,71;
260325;1500;44,145;
260325;1600;46,0808;
260325;1700;63,6208;
260325;1800;74,725;
260325;1900;68,4958;
260325;2000;69,235;
260325;2100;66,4808;
260325;2200;71,0233;
260325;2300;78,3242;
260326;0000;80,5508;
260326;0100;77,3741;
260326;0200;75,3208;
260326;0300;76,8051;
260326;0400;77,01;
260326;0500;82,425;
260326;0600;80,87;
260326;0700;79,985;
260326;0800;75,4867;
260326;0900;72,39;
260326;1000;69,275;
260326;1100;63,58;
260326;1200;62,8092;
260326;1300;60,4192;
260326;1400;52,925;
260326;1500;54,4283;
260326;1600;53,0808;
260326;1700;55,3342;
260326;1800;57,535;
260326;1900;61,6008;
260326;2000;64,8083;
260326;2100;61,5608;
260326;2200;63,0067;
260326;2300;70,5458;
260327;0000;70,8234;
260327;0100;69,9033;
260327;0200;77,6875;
260327;0300;75,47;
260327;0400;73,0634;
260327;0500;82,4817;
260327;0600;85,65;
260327;0700;83,7083;
260327;0800;82,5417;
260327;0900;82,5667;
260327;1000;81,575;
260327;1100;78,7433;
260327;1200;72,0658;
260327;1300;61,8958;
260327;1400;54,3117;
260327;1500;51,5;
260327;1600;49,0967;
260327;1700;52,8208;
260327;1800;58,5625;
260327;1900;66,1208;
260327;2000;67,8192;
260327;2100;71,2792;
260327;2200;70,3108;
260327;2300;70,1508;
260328;0000;71,2133;
260328;0100;70,515;
260328;0200;73,86;
260328;0300;76,4167;
260328;0400;84,8583;
260328;0500;85,325;
260328;0600;87,0167;
260328;0700;84,8917;
260328;0800;79,0651;
260328;0900;64,6067;
260328;1000;53,446;
260328;1100;57,0108;
260328;1200;43,5075;
260328;1300;47,48;
260328;1400;51,2308;
260328;1500;52,1017;
260328;1600;65,9592;
260328;1700;77,9558;
260328;1800;84,3333;
260328;1900;84,5667;
260328;2000;89,05;
260328;2100;92,3833;
260328;2200;93,4333;
260328;2300;93,3667;
260329;0000;95,575;
260329;0100;95,9167;
260329;0200;95,3083;
260329;0300;95,0333;
260329;0400;93,2416;
260329;0500;93,3417;
260329;0600;89,8083;
260329;0700;82,2533;
260329;0800;68,8367;
260329;0900;56,705;
260329;1000;47,4808;
260329;1100;37,5708;
260329;1200;37,7408;
260329;1300;38,0125;
260329;1400;33,6083;
260329;1500;38,0317;
260329;1600;39,08;
260329;1700;50,17;
260329;1800;63,5392;
260329;1900;73,125;
260329;2000;75,0875;
260329;2100;74,29;
260329;2200;75,0059;
260329;2300;74,6801;
260330;0000;73,8208;
260330;0100;73,595;
260330;0200;72,8776;
260330;0300;76,0483;
260330;0400;78,2592;
260330;0500;74,4083;
260330;0600;76,08;
260330;0700;76,6891;
260330;0800;67,4351;
260330;0900;51,9108;
260330;1000;44,4042;
260330;1100;38,9117;
260330;1200;34,915;
260330;1300;32,965;
260330;1400;31,6208;
260330;1500;31,3625;
260330;1600;33,9692;
260330;1700;44,4142;
260330;1800;53,48;
