FECHA (YYMMDD);HORA (HHMM);;
201019;2000;5,20333;
201019;2100;4,54583;
201019;2200;4,24475;
201019;2300;3,823;
201020;0000;3,15;
201020;0100;2,96275;
201020;0200;3,00708;
201020;0300;2,61167;
201020;0400;2,22633;
201020;0500;1,87542;
201020;0600;1,25725;
201020;0700;4,45833;
201020;0800;8,35374;
201020;0900;9,61833;
201020;1000;11,2708;
201020;1100;12,8708;
201020;1200;14,2433;
201020;1300;15,315;
201020;1400;15,7567;
201020;1500;16,7542;
201020;1600;15,5908;
201020;1700;15,6075;
201020;1800;13,1717;
201020;1900;10,2317;
201020;2000;8,74167;
201020;2100;8,07076;
201020;2200;7,12525;
201020;2300;6,13692;
201021;0000;4,70183;
201021;0100;3,03325;
201021;0200;2,32867;
201021;0300;1,74542;
201021;0400;0,991583;
201021;0500;0,0819167;
201021;0600;0,627584;
201021;0700;4,19975;
201021;0800;8,80766;
201021;0900;11,3608;
201021;1000;13,9775;
201021;1100;16,0825;
201021;1200;17,7117;
201021;1300;19,4883;
201021;1400;20,1525;
201021;1500;18,9325;
201021;1600;17,2958;
201021;1700;16,0642;
201021;1800;14,0092;
201021;1900;11,3075;
201021;2000;9,7075;
201021;2100;8,53192;
201021;2200;7,73008;
201021;2300;6,91817;
201022;0000;6,45367;
201022;0100;6,22458;
201022;0200;5,9525;
201022;0300;5,35242;
201022;0400;4,85075;
201022;0500;4,60317;
201022;0600;5,302;
201022;0700;8,41759;
201022;0800;10,6725;
201022;0900;12,6933;
201022;1000;14,7325;
201022;1100;16,3458;
201022;1200;18,2592;
201022;1300;18,5308;
201022;1400;19,0217;
201022;1500;19,8075;
201022;1600;18,7683;
201022;1700;17,6892;
201022;1800;16,5375;
201022;1900;13,4392;
201022;2000;11,1292;
201022;2100;9,95084;
201022;2200;8,955;
201022;2300;7,27758;
201023;0000;5,8795;
201023;0100;5,9645;
201023;0200;5,89017;
201023;0300;5,36117;
201023;0400;5,24992;
201023;0500;5,49892;
201023;0600;6,36158;
201023;0700;7,14142;
201023;0800;9,03941;
201023;0900;11,4658;
201023;1000;15,1892;
201023;1100;17,0142;
201023;1200;19,5792;
201023;1300;19,2492;
201023;1400;17,6908;
201023;1500;16,9483;
201023;1600;15,7867;
201023;1700;15,0675;
201023;1800;12,1208;
201023;1900;10,6542;
201023;2000;10,3608;
201023;2100;9,7925;
201023;2200;9,1225;
201023;2300;8,65584;
201024;0000;8,61501;
201024;0100;8,2525;
201024;0200;8,03532;
201024;0300;8,04042;
201024;0400;7,78883;
201024;0500;7,62325;
201024;0600;7,76608;
201024;0700;9,68166;
201024;0800;12,7883;
201024;0900;14,1542;
201024;1000;15,1583;
201024;1100;15,95;
201024;1200;14,3058;
201024;1300;15,895;
201024;1400;15,4742;
201024;1500;16,2525;
201024;1600;15,355;
201024;1700;14,3917;
201024;1800;11,3283;
201024;1900;9,15668;
201024;2000;7,8795;
201024;2100;7,65225;
201024;2200;6,83917;
201024;2300;5,65067;
201025;0000;4,812;
201025;0100;5,49808;
201025;0200;5,31325;
201025;0300;4,72342;
201025;0400;4,50408;
201025;0500;4,57158;
201025;0600;5,58692;
201025;0700;6,885;
201025;0800;9,25768;
201025;0900;10,1883;
201025;1000;12,0608;
201025;1100;11,5067;
201025;1200;12,2833;
201025;1300;13,4042;
201025;1400;12,7983;
201025;1500;11,5917;
201025;1600;10,7575;
201025;1700;10,355;
201025;1800;9,34334;
201025;1900;8,23775;
201025;2000;7,73125;
201025;2100;7,73117;
201025;2200;7,68792;
201025;2300;7,751;
201026;0000;7,92558;
201026;0100;7,84392;
201026;0200;7,18517;
201026;0300;7,17492;
201026;0400;7,13792;
201026;0500;7,25117;
201026;0600;8,20758;
201026;0700;9,82249;
201026;0800;10,1742;
201026;0900;10,6792;
201026;1000;10,6727;
201026;1100;11,0558;
201026;1200;12,9708;
201026;1300;15,6708;
201026;1400;15,7917;
201026;1500;14,3925;
201026;1600;12,7325;
201026;1700;10,2367;
201026;1800;9,33002;
201026;1900;8,42786;
201026;2000;7,28593;
201026;2100;6,47234;
201026;2200;5,75084;
201026;2300;5,36983;
201027;0000;4,57542;
201027;0100;3,721;
201027;0200;4,06684;
201027;0300;3,67708;
201027;0400;2,70642;
201027;0500;2,69967;
201027;0600;3,85592;
201027;0700;4,36217;
201027;0800;4,27917;
201027;0900;4,1935;
201027;1000;4,23842;
201027;1100;6,37192;
201027;1200;7,74983;
201027;1300;8,88583;
201027;1400;9,16167;
201027;1500;8,77417;
201027;1600;7,73808;
201027;1700;6,21042;
201027;1800;4,96192;
201027;1900;4,50383;
201027;2000;4,38633;
201027;2100;4,3195;
201027;2200;4,25833;
201027;2300;4,1695;
201028;0000;4,15592;
201028;0100;3,86925;
201028;0200;2,80433;
201028;0300;2,82292;
201028;0400;3,686;
201028;0500;3,23442;
201028;0600;4,503;
201028;0700;6,15275;
201028;0800;7,98083;
201028;0900;8,89999;
201028;1000;10,1317;
201028;1100;12,3475;
201028;1200;12,5108;
201028;1300;12,5633;
201028;1400;13,1067;
201028;1500;13,29;
201028;1600;12,235;
201028;1700;12,065;
201028;1800;10,91;
201028;1900;8,70676;
201028;2000;6,86492;
201028;2100;6,21;
201028;2200;5,71592;
201028;2300;6,20258;
201029;0000;6,08367;
201029;0100;5,68975;
201029;0200;5,08758;
201029;0300;5,39808;
201029;0400;4,82758;
201029;0500;4,79158;
201029;0600;5,32525;
201029;0700;9,81175;
201029;0800;12,1242;
201029;0900;12,6475;
201029;1000;13,3458;
201029;1100;15,0125;
201029;1200;15,8208;
201029;1300;16,6317;
201029;1400;17,42;
201029;1500;17,2242;
201029;1600;16,2533;
201029;1700;15,465;
201029;1800;14,7442;
201029;1900;11,9283;
201029;2000;10,0633;
201029;2100;9,19167;
201029;2200;8,70833;
201029;2300;7,79683;
201030;0000;7,39067;
201030;0100;6,80458;
201030;0200;6,07875;
201030;0300;4,71833;
201030;0400;3,81458;
201030;0500;3,171;
201030;0600;4,82083;
201030;0700;9,65392;
201030;0800;12,4692;
201030;0900;14,525;
201030;1000;16,4458;
201030;1100;19,2742;
201030;1200;21,4133;
201030;1300;24,0633;
201030;1400;24,7192;
201030;1500;25,1867;
201030;1600;23,1425;
201030;1700;21,9133;
201030;1800;20,955;
201030;1900;17,7717;
201030;2000;15,35;
201030;2100;14,3217;
201030;2200;13,4125;
201030;2300;12,3275;
201031;0000;11,7233;
201031;0100;9,8575;
201031;0200;8,54167;
201031;0300;7,80192;
201031;0400;7,07525;
201031;0500;6,18058;
201031;0600;6,57217;
201031;0700;11,7217;
201031;0800;14,73;
201031;0900;16,5908;
201031;1000;19,485;
201031;1100;21,6525;
201031;1200;22,8333;
201031;1300;25,5267;
201031;1400;27,5425;
201031;1500;27,9442;
201031;1600;26,21;
201031;1700;24,815;
201031;1800;23,7283;
201031;1900;20,145;
201031;2000;17,6525;
201031;2100;16,26;
201031;2200;14,6817;
201031;2300;13,6842;
201101;0000;11,3367;
201101;0100;9,88083;
201101;0200;8,30968;
201101;0300;7,5305;
201101;0400;7,17142;
201101;0500;5,81267;
201101;0600;6,72942;
201101;0700;10,4458;
201101;0800;14,975;
201101;0900;17,2892;
201101;1000;18,4075;
201101;1100;20,865;
201101;1200;23,6958;
201101;1300;27,0267;
201101;1400;28,4842;
201101;1500;28,2683;
201101;1600;26,0483;
201101;1700;24,6808;
201101;1800;22,7083;
201101;1900;20,3992;
201101;2000;18,125;
201101;2100;16,24;
201101;2200;14,5792;
201101;2300;13,7333;
201102;0000;12,6742;
201102;0100;11,5542;
201102;0200;10,7567;
201102;0300;9,78999;
201102;0400;9,145;
201102;0500;8,56416;
201102;0600;9,05;
201102;0700;11,6975;
201102;0800;13,6258;
201102;0900;16,67;
201102;1000;17,0183;
201102;1100;17,9567;
201102;1200;20,1225;
201102;1300;20,5317;
201102;1400;19,4675;
201102;1500;18,665;
201102;1600;17,6975;
201102;1700;17,7458;
201102;1800;16,7892;
201102;1900;14,6567;
201102;2000;12,885;
201102;2100;11,7533;
201102;2200;11,1842;
201102;2300;11,0958;
201103;0000;10,5358;
201103;0100;9,50333;
201103;0200;9,13083;
201103;0300;8,77667;
201103;0400;8,53833;
201103;0500;8,53833;
201103;0600;10,0475;
201103;0700;13,4958;
201103;0800;15,4325;
201103;0900;17,0333;
201103;1000;18,7217;
201103;1100;20,2483;
201103;1200;21,1017;
201103;1300;21,7275;
201103;1400;21,45;
201103;1500;22,2775;
201103;1600;21,2275;
201103;1700;20,3725;
