FECHA (YYMMDD);HORA (HHMM);;
150117;1400;;
150117;1500;;
150117;1600;;
150117;1700;;
150117;1800;;
150117;1900;;
150117;2000;;
150117;2100;;
150117;2200;;
150117;2300;;
150118;0000;;
150118;0100;;
150118;0200;;
150118;0300;;
150118;0400;;
150118;0500;;
150118;0600;;
150118;0700;;
150118;0800;;
150118;0900;;
150118;1000;;
150118;1100;;
150118;1200;;
150118;1300;;
150118;1400;;
150118;1500;;
150118;1600;;
150118;1700;;
150118;1800;;
150118;1900;;
150118;2000;;
150118;2100;;
150118;2200;;
150118;2300;;
150119;0000;;
150119;0100;;
150119;0200;;
150119;0300;;
150119;0400;;
150119;0500;;
150119;0600;;
150119;0700;;
150119;0800;;
150119;0900;;
150119;1000;;
150119;1100;;
150119;1200;;
150119;1300;;
150119;1400;;
150119;1500;;
150119;1600;2,5;
150119;1700;2,9;
150119;1800;3,1;
150119;1900;2,7;
150119;2000;1,3;
150119;2100;1;
150119;2200;1,1;
150119;2300;1,2;
150120;0000;1,2;
150120;0100;1,2;
150120;0200;1,5;
150120;0300;1,5;
150120;0400;1,6;
150120;0500;1,4;
150120;0600;1,4;
150120;0700;1,2;
150120;0800;1,2;
150120;0900;1,4;
150120;1000;1,5;
150120;1100;2,1;
150120;1200;2;
150120;1300;1,8;
150120;1400;2,2;
150120;1500;2,5;
150120;1600;2,4;
150120;1700;2,8;
150120;1800;2,3;
150120;1900;1,6;
150120;2000;1,4;
150120;2100;1,3;
150120;2200;1,2;
150120;2300;0,9;
150121;0000;1,1;
150121;0100;1;
150121;0200;1,5;
150121;0300;1,7;
150121;0400;1,6;
150121;0500;1,4;
150121;0600;1;
150121;0700;1,1;
150121;0800;1,3;
150121;0900;1,1;
150121;1000;2,4;
150121;1100;2,9;
150121;1200;2,3;
150121;1300;2;
150121;1400;2,1;
150121;1500;2,5;
150121;1600;2,3;
150121;1700;2,8;
150121;1800;3,2;
150121;1900;2,5;
150121;2000;1,2;
150121;2100;1,1;
150121;2200;1,3;
150121;2300;1,2;
150122;0000;1,2;
150122;0100;1,6;
150122;0200;1,6;
150122;0300;1;
150122;0400;1,3;
150122;0500;1,2;
150122;0600;1,5;
150122;0700;1,7;
150122;0800;2,4;
150122;0900;2,9;
150122;1000;3,5;
150122;1100;5,5;
150122;1200;5,3;
